name,phone,address,rating,reviews,service_type,website,google_url,source
Jyona Power Limited,2612555000,"Plot No, JYONA HOUSE, 4/5/6, Ashwini Kumar Rd, nr. Old Sandesh Press, opp. Saurashtra, Mali Ni Wadi, Ni Wadi, Kadawapatidar, Surat, Gujarat 395006, India",4.4,29,Electrical Contractor,,https://maps.google.com/?cid=2239284567130784315,Google Places
Professional Electrical Solution - Best quality Chemical Earthing / Plate Earthing mfg. In Surat Gujrat,7802013980,"50-52/1 Plot No.14-B Bhatiya Gali, behind Susha Foundry, Pandesara GIDC, Udhana, Surat, Gujarat 394221, India",4.9,15,Electrical Contractor,http://www.pesearthing.com/,https://maps.google.com/?cid=18127794893262907981,Google Places
DES ELECTRO MECH PVT LTD,9825107485,"Shop No. 222, B 2nd Floor, Square One Commercial Complex, A & 222, Bhimrad-Althan Rd, near Dhiraj Sons, Apcha Nagar, Surat, Gujarat 395007, India",4.5,11,Electrical Contractor,http://www.deselectro.com/,https://maps.google.com/?cid=15008434860552562622,Google Places
Destiny Electrical,9624083544,"Shreeji Apartment, G-1, Rachana Cir, Prabhu Nagar, Valinath Society, Ram Nagar, Hirabaugh, Surat, Gujarat 395006, India",4.3,9,Electrical Contractor,http://destinyelectrical.in/,https://maps.google.com/?cid=10773182369335278453,Google Places
SANTKRUPA ELECTRICALS,9428633933,"B-13, Singanpore Road, near Dhanmora, Asha Nagar Society, Snehsagar Society, Katargam, Surat, Gujarat 395004, India",4.6,10,Electrical Contractor,https://m.indiamart.com/santkrupa-electricals/,https://maps.google.com/?cid=8969775537871993001,Google Places
New Shree Rang Electricals,8849977677,"Shed No. 5A, Phase K, Road No. 6, Functional Estate, Udhana GIDC, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",5,2,Electrical Contractor,http://www.shreerangelectricals.co.in/,https://maps.google.com/?cid=6405257661668442407,Google Places
Kiran Electricals,2612454547,"G-5, opp. Linear Bus Stand, Japan Market, Begampura, Surat, Gujarat 395003, India",5,1,Electrical Contractor,http://www.kiranelectricals.co.in/,https://maps.google.com/?cid=2723939164184903533,Google Places
Chauhan Electrical Services,9898607360,"Shivam Nagar, Pandesara, Udhana, Surat, Gujarat 394210, India",5,2,Electrical Services,,https://maps.google.com/?cid=9693999764614718951,Google Places
Shubham electrical sales & service,9879524768,"Guru Krupa Complex, G-11, Near Model Town, Parvat Patiya, Surat, Gujarat 395010, India",4.5,10,Electrical Services,,https://maps.google.com/?cid=550358494686213831,Google Places
Twinkle Electrical,9825352327,"3/4, Maan Darwaja, Singapuri Wadi, Rustampura, Surat, Gujarat 395002, India",5,1,Electrical Services,,https://maps.google.com/?cid=56740666767919405,Google Places
Siyam's Power Solution,7405592747,"Shop no.1, Gopipura, Surat, Gujarat 395002, India",5,4,Electrical Services,,https://maps.google.com/?cid=10129706705829538383,Google Places
Patel Electricals Sales & Services,9879337870,"Kamalbaug Soc, 30/31, Khodiyar Nagar Rd, near Bajrang Nagar Soc, Radhakrishna Society, Kamal Baug Society, Varachha, Surat, Gujarat 395008, India",5,2,Electrical Services,,https://maps.google.com/?cid=11557989278577934520,Google Places
MD Electrical Global,7069382679,"A-35, RUPAM SOCIETY, A.K Rd, near SARITA DARSHAN SOCIETY, behind PP SAVANI SCHOOL, BhakktInagar V-2, Setal Society, Hirabaugh, Surat, Gujarat 395006, India",4.8,96,House Wiring,,https://maps.google.com/?cid=8274214879042438022,Google Places
Total Electrical Solution,8511237318,"2, Total Electrical Solution, Balaji Industrial Society, C-120, Udhana - Magdalla Rd, opp. Surya Plaza, Gandhi Kutir, Surat, Gujarat 395017, India",4.6,28,House Wiring,,https://maps.google.com/?cid=769729163151321372,Google Places
Tirupati sales corporation,2612704000,"Plot no. 52-53, soma Kanji ni Wadi, Nr Savera Complex Udhna-City, BRTS, Vesu Canal Rd, Khatodra Wadi, Surat, Gujarat 395002, India",4.4,277,House Wiring,http://www.tirupatisales.com/,https://maps.google.com/?cid=9195415458568766633,Google Places
Dhanvarsha Electricals,9426404135,"Udhana Main Rd, opp. Swami Narayan Temple, near Foot Over Bridge, Ranchhod Nagar, Harinagar-2, Harinagar, Udhana, Surat, Gujarat 394210, India",4.6,14,House Wiring,,https://maps.google.com/?cid=13956385337438914721,Google Places
Panel & Motor Rewinding Works in Surat - Dana Electrical,8460580905,"SHOP NO : 3, Milan Point, YOGI KRUPA, GAM ROAD, opposite SURAT MERCHANT BANK, Bamroli, Udhana, Surat, Gujarat 394221, India",5,41,House Wiring,,https://maps.google.com/?cid=15601911399651613763,Google Places
Electrical man,6355822493,"Lalmiyan Masjid Rd, Rampura, Katargam Darwaja, Surat, Gujarat 395003, India",,,House Wiring,,https://maps.google.com/?cid=16383986760996149385,Google Places
Surya Technology & Switch Gears,9824174369,"Udhna Darwaja, B/H Apple Hospital, 25/189, Gujarat Housing Board, Bethi Colony, Udhana, Surat, Gujarat 395002, India",5,6,House Wiring,,https://maps.google.com/?cid=9603792742665308440,Google Places
REM Electromach Pvt. Ltd.,2612273615,"Rd Number 9, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.7,25,House Wiring,https://www.remempl.in/,https://maps.google.com/?cid=14050090122641635385,Google Places
Mudit Enterprise,7820092138,"Plot No. 43 Jeet Industrial Society, Bamroli Rd, Near, Raika Circle, Laxmi Nagar, Majura, Udhana, Surat, Gujarat 395002, India",4.4,5,House Wiring,,https://maps.google.com/?cid=12586405205811114668,Google Places
Home Fix electricals,8160044065,"4, Kshetrapal Dada Marg, Golkiwad, Talawdi, Sagrampura, Golkiwad, Surat, Gujarat 395002, India",5,1,House Wiring,,https://maps.google.com/?cid=4053221768262608791,Google Places
Bright Light & Electricals,9265522455,"G 6, raviraj complex, Gangeshwar Mahadev Temple Rd, near mahalaxmi, Bungalow Society, Karan Park, Adajan, Surat, Gujarat 395009, India",4.7,39,House Wiring,,https://maps.google.com/?cid=15983597008391388478,Google Places
Nijanand Digital Meter,7878151601,"B-108 BHARATNAGAR, Lambe Hanuman Rd, Maruti Chowk, Bhagirath Nagar, Varachha, Surat, Gujarat 395006, India",4.9,174,Meter Installer,,https://maps.google.com/?cid=17648665462233059077,Google Places
"THE GAUGE FACTORY-SURAT || Pressure Gauge, Temperature Gauge, RTD Sensor, Pressure Transmitter Manufacturer",8980272864,"G-48, Silicon Shoppers, Udhana Main Rd, Vashi Colony, Chandanvan Society, Udhana Village, Udhana, Surat, Gujarat 394210, India",4.7,104,Meter Installer,,https://maps.google.com/?cid=9550313192162588191,Google Places
Sai leela Meter Repairing,8866680151,"120, 123, fut bamroli rod, near suvidha hospital, New Haridham Society, Pandesara, Udhana, Surat, Gujarat 394210, India",4.3,12,Meter Installer,,https://maps.google.com/?cid=7350662940018734325,Google Places
Patel Auto Meter & Workshop,9825340637,"Shop-35 Suryakiran-Chandrakiran Complex, Vallabhacharya Rd, Ashwin Society 3, Kodiyar Nagar, Surat, Gujarat 395008, India",4.1,40,Meter Installer,,https://maps.google.com/?cid=247197373895506702,Google Places
Perfect Meter Repairer,9510565792,"Begampura Rd, Zampa Bazaar, Begampura, Surat, Gujarat 395003, India",4.8,4,Meter Installer,,https://maps.google.com/?cid=3006405417253188248,Google Places
Purnima Auto Meter Advance Ecm Repair Training Hub,9824424888,"PURNIMA AUTO METER 7/4269 AL RAHEEM,SUTHAR FALIYA, Cinema Rd, near HOTEL ROYAL TREAT, Mahidharpura, DELHI GATE, Surat, Gujarat 395003, India",4.6,449,Meter Installer,http://www.purnimameters.com/,https://maps.google.com/?cid=6264848698804934669,Google Places
ARROWMECH INSTRUMENTS & AUTOMATION,9859410410,"W/41, Laxminarayan Industrial Estate, BRC Compound, opp. Daksheshwar Mahadev Temple, Baroda Rayon Corporation, Jeevan Jyothi Nagar, Udhana, Surat, Gujarat 394210, India",5,1,Meter Installer,https://www.arrowmech.com/,https://maps.google.com/?cid=10005380642069476652,Google Places
Jupisol Power India Private Limited,9898121807,"SNS Atria, A-701, opposite Jolly Party Plot, Vesu, Surat, Rundh, Gujarat 395007, India",4.9,219,Meter Installer,http://jupisolpower.com/,https://maps.google.com/?cid=231347195450015816,Google Places
Testing Instruments,9377977666,"SK-2 Industrial Estate, Plot No 91, Sosyo Circle, Udhana, Surat, Gujarat 395002, India",5,10,Meter Installer,http://testing-instrument.in/,https://maps.google.com/?cid=12329325087450959531,Google Places
HI-TECH CONTROLS -SURAT- HITACHI VFD AUTHORISE DEALER- CG EMOTRON VFD REPAIR AUTHORIZED SERVICE CENTER,9033905142,"GATE-03, JEET INDUSTRIAL ESTATE, PLOT-109, near RAYKA CIRCLE, Laxmi Nagar, Udhana, Surat, Gujarat 395002, India",5,10,Meter Installer,,https://maps.google.com/?cid=13785987588258080501,Google Places
SK Instruments and Calibration,8866477303,"Udhna Shangh Market, E-208, nr. Divya Bhaskar Press, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.9,40,Meter Installer,,https://maps.google.com/?cid=9183034906405270610,Google Places
SMB Info Solutions,9974755110,"M square, Mankamal Popat St, Nanpura, Surat, Gujarat 395001, India",5,326,Meter Installer,http://www.smbinfosolutions.com/,https://maps.google.com/?cid=16932060839366310625,Google Places
Saffron Engineering,9913590190,"Ashirwad Industry, Society, Plot No.1, 120 Feet Bamroli Rd, near Mamta Hospital, opposite Bharat Petrol Pump, Laxmi Nagar, Udhana, Surat, Gujarat 395002, India",4.6,39,Meter Installer,http://www.saffronengineering.com/,https://maps.google.com/?cid=11346029528025711868,Google Places
I.S. Engineers,6357910101,"D203, Second, Udhna Sangh Complex, beside Divya Bhaskar Press, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.8,25,Meter Installer,https://www.isengineers.in/,https://maps.google.com/?cid=4404407648576415275,Google Places
Asian Electricals & Lights,9898197678,"1, Falsawadi Main Road, Cinema Rd, opposite Meera House, Zampa Bazaar, Begampura, Surat, Gujarat 395003, India",4.8,120,Meter Installer,,https://maps.google.com/?cid=801614315513743588,Google Places
Heaven Green Energy Ltd,6390405060,"Anupam square, 201, Mahadev Chowk, Pramukh Park, Mota Varachha, Surat, Gujarat 394101, India",4.8,438,Meter Installer,https://heavensolarenergy.com/,https://maps.google.com/?cid=14886630984410852862,Google Places
Saloni enterprise,9377718599,"U-7, Opp. Dream Honda, Udhana Village, Udhana, Surat, Gujarat 394210, India",5,10,Meter Installer,https://www.indiamart.com/salonienterprise/,https://maps.google.com/?cid=785606640423800880,Google Places
Poonawala WS (Manufacturer and Wholesaler unit),9979792752,"Saibaba Shopping Center, B-103, Udhana Main Rd, beside Arihant complex, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.9,769,Meter Installer,,https://maps.google.com/?cid=10964872854089680679,Google Places
HOC CONNECT PVT. LTD.,8401735511,"HOC HOUSE 1/205, kharadi Street, B/H, Jain Derasar, Nanpura New Rd, Nanpura, Surat, Gujarat 395001, India",4.3,48,Meter Installer,http://hoc-technologies.com/,https://maps.google.com/?cid=6223614080511324972,Google Places
Shah Electric Co.,9824119977,"G-13/A, opp. Liner Bustand, Japan Market, Delhi Gate, Surat, Gujarat 395003, India",4.5,8,Meter Installer,,https://maps.google.com/?cid=11711163505339826318,Google Places
Sarvayogam Solar,9510356575,"E-68, Laxminarayan Industrial park, Baroda Rayon Corporation, Jeevan Jyothi Nagar, Udhana, Surat, Gujarat 394210, India",4.8,162,Meter Installer,http://www.sarvayogamgroup.com/,https://maps.google.com/?cid=13276177847850149634,Google Places
Tata Power Solaroof - Green Watt Energy,9067004323,"213, Bluestone Complex, nr. Shyamdham Mandir, Sarthana Jakat Naka, Panchvati Scoiety, Nana Varachha, Surat, Gujarat 395013, India",4.9,1564,Meter Installer,https://solaroof.tatapower.com/?utm_source=gmb&utm_medium=listing_page&utm_campaign=green_watt_energy,https://maps.google.com/?cid=12110135619757779107,Google Places
24R Energy,9898881269,"S-12, KSB Olympia Complex, Althan Road, Kailash Chokdi, Gopal Nagar Society, Pandesara, Udhana, Surat, Gujarat 394210, India",4.9,248,Meter Installer,,https://maps.google.com/?cid=5244560921589043212,Google Places
IPC PUMPS INDIA PVT LTD,9624059143,"Laxmi Narayan Industrial Zone, E-69, behind BRC Temple, Baroda Rayon Corporation, Jeevan Jyothi Nagar, Udhana, Surat, Gujarat 394210, India",4.8,31,Meter Installer,http://ipcpumps.in/,https://maps.google.com/?cid=450476920319589239,Google Places
P V ENERGY,9924195999,"622, Homeland City, Piplod, Surat, Gujarat 395007, India",4.9,93,Meter Installer,http://www.pvenergy.in/,https://maps.google.com/?cid=1594231448866898484,Google Places
DIVENCE TECHNO PRIVATE LIMITED,9377937792,"2, Plot No. A-3/6, Central Rd, behind Bharat Petrol Pump, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",5,22,Meter Installer,https://www.divence.com/,https://maps.google.com/?cid=3597659500390023741,Google Places
Shrirang Sales Corporation,2612474237,"UG-3&4, Nirman Bhavan, near Krushi Mangal Apartment, Hall, Majura Gate, Surat, Gujarat 395001, India",4.8,5,Meter Installer,http://www.shrirangsales.com/,https://maps.google.com/?cid=13922737884325984699,Google Places
Shree Ramdev Electric,9624677858,"Shri Mangal Pandey Railway Over Brg, New Textile Market, Surat, Gujarat 395002, India",5,3,Electrical Lineman,,https://maps.google.com/?cid=14277345638815980850,Google Places
Shashi Enterprise - Expanding Possibilities,8758131292,"504, Union Heights, near Lalbhai Stadium, Vesu, Surat, Rundh, Gujarat 395007, India",5,5,Electrical Lineman,http://www.shashienterprise.co/,https://maps.google.com/?cid=11680513617379462631,Google Places
Shreeji Electricals,9104137056,"Damanwala Complex, Navsari Main Road, Pandesara GIDC, Udhana, Surat, Gujarat 394221, India",,,Electrical Lineman,https://shreejielectricals.net/,https://maps.google.com/?cid=4902566014896494382,Google Places
Bhavani Electricals,2616595200,"Plot no 93, Rajdeep Industrial Estate, opp. SMC clock garden, Bhestan, Surat, Gujarat 395023, India",5,1,Industrial Electrician,,https://maps.google.com/?cid=9823695876979192405,Google Places
Wicon Electronics (Electrical Panels / PLC -SCADA Manufacturer),9898603537,"Plot No. K5 , Road no.5 , Diamond Industrial Park, near SEZ, behind Sachin, Sursez, GIDC, Sachin, Surat, Gujarat 394230, India",4.5,25,Industrial Electrician,http://www.wicon.in/,https://maps.google.com/?cid=17558607945589324369,Google Places
GroupNish (Electrical and Automation Company),2612390804,"C20/2, Road No.15, N. Flour Mill, Surat - Navsari - Palsana Rd, Nr. G, Hoziwala Industrial Estate, Sachin Apparel Park SEZ., Sachin, Surat, Gujarat 394230, India",4.1,101,Industrial Electrician,https://www.groupnish.com/,https://maps.google.com/?cid=16867858872433310329,Google Places
Powercare Engineers,9825138582,"U/G Showroom, C - Tower Udhna Udhyognagar, Udhna Shangh Market, Road No. 10, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",5,17,Industrial Electrician,https://www.powercareeng.com/,https://maps.google.com/?cid=16017981640825275308,Google Places
Aum Electric Engineering Pvt. Ltd,9825058833,"KADIWALA STREET, PLOT NO.7, opp. SHIVRAM DYEING, Near Desai Cng Gas Station, Khatodra Wadi, Surat, Gujarat 395002, India",4.7,6,Industrial Electrician,https://aumelectric.in/,https://maps.google.com/?cid=13773580417846399444,Google Places
JBP Infra Projects Pvt Ltd,9979533033,"4RQF+QFR, Shiv Industrial Society, Bamroli, Udhana, Surat, Gujarat 394210, India",4.1,21,Industrial Electrician,,https://maps.google.com/?cid=3834476304877988730,Google Places
Badshah Electrical,9909092275,"135, Aatmanand industrial state, vibhag 2, 120ft bamroli Road, Majura, Gandhi Kutir, Surat, Gujarat 395002, India",4.9,96,Industrial Electrician,,https://maps.google.com/?cid=18047277991245337333,Google Places
Electrical repairing,7016379815,"SMC Building opp vanita recsidan Althan Surat Chaina Gate, opp. vanita recsidan, New City Light, Althan, Surat, Gujarat 395017, India",,,Industrial Electrician,,https://maps.google.com/?cid=3551661907332447791,Google Places
Acronics Electric Pvt Ltd,9825738626,"4th Floor,306, Acronics Electric Pvt Ltd, Atlanta Shopping Mall, Apcha Nagar, Althan, Surat, Gujarat 395017, India",4.8,32,Industrial Electrician,https://www.acronicselectric.com/,https://maps.google.com/?cid=10065922376913291950,Google Places
Jain Electric Stores,9825908477,"Nr. Academic School, 15, Central Rd, opp. Jain Plaza, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.9,28,Industrial Electrician,,https://maps.google.com/?cid=8183964754714915271,Google Places
Coolzone Aircon AC Repair & Services,9453839992,"plot no. 176, near Vesu, Ganesh Nagar, Nem Nagar, Pandesara, Vesu, Surat, Gujarat 394210, India",4.8,424,AC Electrician,https://coolzoneairconac.online/,https://maps.google.com/?cid=4142442835083175822,Google Places
Sadguru AIR Conditioners,8849620958,"Ranchhod Nagar New, 128, Bamroli - Althan Rd, Pandesara, Althan, Surat, Gujarat 395017, India",4.9,167,AC Electrician,https://sadguruairconditioners.in/,https://maps.google.com/?cid=10663518987966008807,Google Places
AC MAN - AC Sales & Service at Piplod,9574695741,"Shop-45, 3rd Floor, Aakash Business Centre, nr. Piplod Main Road, Maheshwari Society, Krishnadham Society, Piplod, Surat, Gujarat 395007, India",4.9,295,AC Electrician,http://www.theacman.in/,https://maps.google.com/?cid=1032861690307905444,Google Places
Affordable cooling system,8780988209,"Ghnatiwala Complex, Surat - Navsari Rd, Parsi Compound, Meeranagar Society, Udhana Village, Udhana, Surat, Gujarat 394210, India",4.9,144,AC Electrician,,https://maps.google.com/?cid=4398109573191765353,Google Places
Nikam Refrigeration-BEST AC SERVICE IN SURAT,8154882480,"152 Bhedwad, opp. Brc, Bhedwad, Pandesara, Udhana, Surat, Gujarat 394210, India",5,96,AC Electrician,,https://maps.google.com/?cid=11742495738549251600,Google Places
AONE AIR CONDITIONERS - Best Air Conditioner Store in Vesu| Air Conditioner Repair Store| Best Refrigerator Repair Store,9913798755,"G-20 aagam cross road, Samaysar Bungalow, VIP Rd, E3 Block, ac market, Vesu, Surat, Gujarat 395007, India",4.9,107,AC Electrician,,https://maps.google.com/?cid=4371005996900429801,Google Places
